cellID	f_l1_College & University	f_l1_Food	f_l1_Residence	f_l1_Travel & Transport	f_l1_Outdoors & Recreation	f_l1_Arts & Entertainment	f_l1_Shop & Service	f_l1_Nightlife Spot	f_l1_Professional & Other Places	f_l1_Event	t_predominant
2376	0	4	0	0	0	1	4	0	16	0	Commercial
6266	0	1	0	0	3	0	0	0	0	0	OpenSpace
4023	1	0	2	6	0	0	2	0	3	0	Transportation
5242	0	0	0	0	0	0	5	0	1	0	Residential
89	0	0	0	0	1	0	0	0	0	0	Commercial
3468	0	3	0	0	1	2	2	0	3	0	OpenSpace
1197	0	6	6	1	0	3	0	0	3	0	Residential
2463	3	5	3	2	3	0	5	0	7	0	Mixed
403	0	11	0	0	0	1	1	2	7	0	Commercial
4648	0	0	1	0	0	0	0	0	0	0	OpenSpace
527	0	0	2	0	0	17	2	0	0	0	Mixed
3730	0	0	0	0	1	0	0	0	0	0	OpenSpace
5876	0	0	0	0	0	0	1	0	0	0	OpenSpace
4180	0	0	0	0	1	0	0	0	0	0	OpenSpace
4726	0	0	6	0	0	0	1	0	1	0	Residential
3041	1	0	0	2	0	2	0	0	3	0	OpenSpace
3623	0	0	2	1	0	3	2	0	5	0	Residential
4266	0	0	2	0	0	0	1	0	3	0	Residential
2891	5	0	0	4	1	0	0	0	3	0	Other
1900	0	3	4	3	2	0	2	4	7	0	Residential
2091	0	7	1	2	2	2	5	1	2	0	Mixed
4695	0	3	5	0	0	0	0	0	3	0	Residential
5654	0	0	0	0	2	0	0	0	0	0	OpenSpace
6327	0	0	0	0	1	1	0	0	0	0	OpenSpace
3795	3	1	1	1	0	0	9	1	6	0	Residential
673	0	4	0	3	0	0	4	2	5	0	Residential
5010	0	2	2	4	0	0	1	0	1	0	Other
1104	0	1	0	4	1	3	1	2	3	0	Transportation
1270	0	1	0	22	2	1	1	1	2	0	Transportation
4938	1	2	2	1	0	0	1	0	0	0	Residential
1684	1	8	2	2	6	3	6	0	23	0	Commercial
3175	0	2	2	0	3	0	0	0	2	0	Residential
3230	0	0	0	0	0	0	0	0	1	0	Mixed
2429	0	1	0	0	0	0	1	0	0	0	Other
1663	0	1	2	7	0	0	2	0	7	0	Mixed
5152	0	1	0	0	0	0	0	0	1	0	Residential
689	0	2	0	0	0	0	1	0	0	2	Other
1718	0	14	1	1	0	1	9	2	1	0	Residential
3807	0	1	5	0	0	0	1	0	4	0	Residential
101	0	1	0	2	0	1	1	0	4	0	Commercial
2879	0	2	0	2	0	0	1	0	5	0	Residential
2647	0	0	2	1	3	0	0	0	2	0	Residential
1513	0	0	0	0	1	4	14	0	16	0	Commercial
2662	1	0	5	1	0	1	0	1	1	0	Mixed
1399	0	10	3	0	0	2	8	0	8	0	Mixed
3524	0	2	6	5	1	0	8	0	2	0	Mixed
1860	1	11	1	1	2	1	6	12	0	0	Mixed
5320	0	0	1	0	1	0	3	0	0	0	Residential
4603	0	2	2	2	3	2	7	1	5	0	Residential
2094	0	9	1	2	2	1	11	0	3	0	Mixed
5898	0	5	0	0	0	1	4	1	0	0	Mixed
3967	0	2	0	2	0	0	1	1	3	0	Other
607	0	1	0	2	0	0	3	0	4	0	Other
5958	0	8	1	3	2	0	11	0	1	0	Commercial
4250	0	1	5	1	2	1	4	4	7	0	Residential
3352	0	9	0	1	0	0	5	1	17	0	Commercial
3763	0	0	3	0	1	0	0	0	2	0	Other
4850	0	0	2	1	0	0	0	0	1	0	Residential
4429	0	0	0	0	1	0	0	0	0	0	OpenSpace
3048	0	0	0	0	3	0	0	0	0	0	OpenSpace
5230	1	1	4	4	8	2	2	0	8	0	Mixed
3228	1	0	1	0	0	0	0	2	5	0	Other
2935	0	0	0	2	2	0	0	0	0	0	OpenSpace
4485	0	0	0	2	0	1	0	0	3	0	Other
1376	0	0	0	1	1	3	1	1	1	0	Commercial
4942	0	7	0	1	0	0	2	1	0	0	Residential
6324	0	0	0	1	0	0	0	0	0	0	OpenSpace
2829	0	1	2	4	1	0	0	0	5	0	Other
4944	0	1	1	1	0	0	0	0	0	0	Mixed
288	0	0	0	2	5	3	0	2	0	0	Transportation
6253	0	5	0	0	0	0	2	2	0	0	Other
340	0	5	0	3	0	0	28	0	4	0	Commercial
820	0	5	1	0	2	0	3	3	0	0	Residential
848	0	1	0	4	1	3	2	0	2	0	Other
3714	3	1	1	5	0	7	7	0	4	0	Residential
2439	0	2	3	1	4	3	5	2	1	0	Residential
1342	0	3	1	1	0	0	13	2	11	0	Commercial
4747	0	2	2	2	0	0	1	0	1	0	Residential
6049	0	0	0	1	1	0	0	0	1	0	OpenSpace
4416	0	6	8	0	0	0	5	3	1	0	Mixed
5037	0	3	0	0	0	1	6	0	1	0	Mixed
5259	0	3	2	0	0	0	2	0	2	0	Residential
2102	0	4	4	2	1	3	13	0	1	0	Mixed
497	0	2	2	1	0	3	1	0	6	0	Transportation
3159	0	0	0	0	2	0	0	0	0	0	OpenSpace
3514	0	0	0	3	0	0	2	0	13	0	Other
5196	0	1	5	1	0	0	1	0	0	0	Residential
827	0	5	0	1	2	2	6	2	3	0	Mixed
2407	2	5	4	3	3	0	8	1	4	0	Mixed
1980	0	3	0	2	0	1	1	4	2	0	Commercial
3068	0	0	0	0	2	0	0	0	5	0	Other
4599	0	1	1	0	1	0	0	0	0	0	Residential
4784	0	1	15	0	0	0	1	1	3	0	Residential
2621	0	7	4	2	3	4	13	1	5	0	Mixed
3796	0	1	3	1	0	3	1	0	3	0	Residential
3802	0	1	0	2	0	0	1	0	11	0	Residential
3598	0	1	0	0	0	0	0	0	0	0	Other
4063	0	2	1	1	0	0	4	0	5	0	Residential
985	0	7	0	0	0	0	5	2	5	0	Mixed
711	0	6	2	1	3	0	2	1	10	0	Commercial
5026	0	2	0	1	0	1	4	0	1	0	Mixed
113	0	1	0	0	2	1	0	0	0	0	Other
3919	0	4	0	3	1	0	1	0	0	0	Residential
4908	0	8	0	0	1	1	3	1	0	0	Residential
4537	0	0	0	0	0	0	0	0	1	0	OpenSpace
1443	2	6	0	0	2	0	4	4	16	0	Commercial
5157	0	2	1	0	0	0	3	0	0	0	Residential
2188	0	1	2	0	0	1	0	0	3	0	Residential
974	0	0	0	1	1	0	2	1	4	0	Other
2668	0	4	3	3	4	0	7	0	1	0	Mixed
6310	0	0	0	0	0	0	0	0	1	0	OpenSpace
2015	0	0	0	1	0	0	0	0	2	0	OpenSpace
4688	0	2	9	0	4	0	6	2	1	0	Other
6008	0	0	0	0	1	0	0	0	0	0	OpenSpace
5521	0	0	0	0	1	0	0	0	0	0	OpenSpace
2445	0	4	3	1	0	0	1	3	1	0	Mixed
218	0	2	1	2	1	2	1	0	16	0	Commercial
3429	0	0	0	3	2	0	0	0	4	0	Other
4263	0	5	1	1	0	0	4	0	4	0	Mixed
1013	0	1	0	8	0	0	0	0	6	0	Commercial
2520	0	0	0	0	1	0	0	0	0	0	OpenSpace
4622	2	0	1	0	1	0	1	0	0	0	OpenSpace
375	0	1	0	0	2	0	0	0	2	2	Other
1099	0	3	6	5	0	0	2	1	16	0	Commercial
4256	0	3	4	0	0	1	3	0	4	0	Residential
1702	0	7	0	2	0	0	18	0	4	0	Commercial
6044	0	0	3	1	2	1	2	0	0	0	Other
582	0	4	11	0	0	1	3	1	2	0	Residential
308	0	0	0	0	0	1	0	0	0	0	Transportation
733	0	0	0	1	0	0	1	1	4	0	Residential
2157	0	9	3	4	1	0	3	3	14	0	Commercial
3757	3	9	2	7	1	0	9	1	1	0	Commercial
3392	0	0	1	0	0	0	0	0	0	0	Residential
6245	0	0	0	0	1	0	0	0	0	0	OpenSpace
818	0	12	0	2	0	3	7	0	3	0	Mixed
2295	0	2	7	0	2	0	4	5	0	0	Residential
5371	0	3	0	3	1	0	4	0	0	0	OpenSpace
4620	0	0	0	0	1	0	1	0	0	0	OpenSpace
1447	0	7	0	6	2	4	4	0	5	0	Commercial
3549	0	0	0	0	3	0	0	0	0	0	OpenSpace
4092	0	0	0	0	3	0	0	0	0	0	OpenSpace
2850	0	0	0	0	0	0	0	0	2	0	Residential
2010	0	1	2	3	0	0	0	1	7	0	Residential
2084	0	13	1	1	0	0	4	0	14	0	Other
2416	0	0	0	1	1	0	0	0	0	0	OpenSpace
1917	1	1	2	1	1	0	0	0	4	0	Residential
3718	0	0	0	4	1	13	0	0	1	0	OpenSpace
2909	0	12	0	1	0	0	4	0	3	0	Commercial
757	0	2	3	6	2	1	0	0	3	0	Residential
5245	0	1	0	1	0	0	3	0	0	0	Other
4776	0	0	0	3	0	0	2	0	1	0	Other
5268	0	5	1	0	0	0	3	1	0	0	Mixed
3286	1	2	1	0	1	0	0	0	1	0	OpenSpace
2267	0	4	0	2	1	1	12	0	16	1	Commercial
5305	0	0	4	0	1	0	0	1	0	0	Residential
2605	0	0	1	1	0	0	0	0	2	0	Residential
6171	0	0	1	0	0	0	0	0	0	0	Residential
6430	0	3	2	3	1	0	0	0	0	0	Transportation
4382	0	0	0	0	1	0	1	0	0	0	OpenSpace
4679	1	5	14	2	2	1	10	1	1	0	Mixed
5090	0	0	1	0	0	0	0	0	0	0	OpenSpace
2538	0	0	2	1	0	0	1	0	0	0	Residential
3962	1	1	3	0	1	2	4	1	5	0	Mixed
3275	0	0	0	0	1	1	0	0	0	0	OpenSpace
2138	0	17	1	0	0	1	5	2	2	0	Mixed
1458	0	6	0	2	3	3	7	3	6	0	Other
2199	0	11	4	2	3	0	6	3	4	0	Mixed
492	0	5	1	1	1	1	13	1	1	0	Residential
1325	0	4	0	1	0	1	15	0	12	0	Commercial
5509	0	3	2	1	0	0	2	0	0	0	Mixed
4436	1	0	0	1	1	0	0	0	0	0	OpenSpace
4153	0	20	1	2	1	1	9	0	1	0	Mixed
2234	0	4	7	4	0	1	11	2	2	0	Mixed
2065	9	3	0	0	0	1	4	0	14	0	Commercial
5442	0	0	0	1	0	0	0	0	0	0	Residential
5942	1	4	1	1	0	0	2	0	2	0	Mixed
1487	0	5	0	1	1	0	3	0	5	0	Other
825	0	4	4	0	0	1	0	4	1	0	Residential
2121	0	0	2	1	2	0	0	0	0	0	Mixed
3834	0	0	1	0	7	0	0	0	1	0	OpenSpace
